id,nombre,estado,fecha_plazo_evaluacion
2163534355,Parque Solar BESS Cuyumillaco,En Calificación,17/1/2025
2163256189,Sistema de Almacenamiento de Energía y Linea de Transmisión BESS Pueblo Hundido,En Calificación,21/1/2025
2163054365,Línea de Transmisión y Sistema BESS Cálice,En Calificación,6/1/2025
2162750342,Sistema de Almacenamiento de Energía y Linea de Transmisión BESS Tambillo,En Calificación,12/2/2025
2161878487,Sistema de Almacenamiento de Energía Eléctrica Tipo BESS. Camarones,Desistido,23/5/2024
2160827413,Línea de Transmisión y Central BESS Halcón 8,Aprobado,21/10/2024
2160818892,Linea de Transmision y Central BESS Halcon 3,Aprobado,21/8/2024
2160819399,Linea de Transmision y Central BESS Halcon 10,Aprobado,13/8/2024
2160825554,Línea de Transmisión y Central BESS Halcón de Almagro,Aprobado,13/8/2024
2160818866,Línea de Transmisión y Central BESS Halcón 5,Rechazado,3/9/2024
2160744209,Línea de Transmisión y Central BESS Halcón 6,Aprobado,12/8/2024
2160819961,Línea de Transmisión y Central BESS Halcón 13,Aprobado,11/9/2024
2160823785,Linea de Transmision y Central BESS Halcon 4,Aprobado,12/9/2024
2160824717,Línea de Transmisión y Central BESS Halcón 14,Aprobado,26/8/2024
2160819346,Línea de Transmisión y Central BESS Halcón 7,Aprobado,26/8/2024
2160829644,Línea de Transmisión y Central BESS Halcón 15,En Calificación,2/12/2024
2160777918,Arena BESS,Aprobado,2/9/2024
2160824182,Linea de Transmision y Central BESS Halcon 20,En Calificación,4/12/2024
2160823464,Línea de Transmisión y Central BESS Halcón 9,Aprobado,19/8/2024
2160818324,Línea de Transmisión y Central BESS Halcón 2,Aprobado,27/9/2024
2130705675,60 MW Sistema de Almacenamiento de Energía BESS-Guacolda,Aprobado,3/8/2016
2129612134,Nueva planta de plásticos Bessalles,No Admitido a Tramitación,15/7/2014
2163682427,Sistema de Almacenamiento de Energía Dorado,En Admisión,15/11/2024
2163353999,Sistema de Almacenamiento de Energía Alianza,En Calificación,2/1/2025
2163256189,Sistema de Almacenamiento de Energía y Linea de Transmisión BESS Pueblo Hundido,En Calificación,21/1/2025
2162699068,Proyecto Sistema de Almacenamiento de Energía (SAE) Volcán Isluga,En Calificación,6/1/2025
2162698516,Proyecto Sistema de Almacenamiento de Energía (SAE) Volcán Hudson,En Calificación,24/2/2025
2162750342,Sistema de Almacenamiento de Energía y Linea de Transmisión BESS Tambillo,En Calificación,12/2/2025
2162642394,Sistema de Almacenamiento de Energía Polaris,En Calificación,5/5/2025
2162642052,Sistema de Almacenamiento de Energía Altair,En Calificación,17/2/2025
2162318810,Sistema de Almacenamiento de Energía Alianza,No calificado,12/9/2024
2162187403,Sistema de Almacenamiento de Energía Medialuna,En Calificación,11/2/2025
2162132611,Sistema de Almacenamiento de Energía Medialuna,Desistido,23/5/2024
2162084684,Sistema de Almacenamiento de Energía (SAE) Volcán Melimoyu,En Calificación,19/12/2024
2162036715,Sistema de Almacenamiento de Energía (SAE) Volcán Sollipulli,En Calificación,11/12/2024
2161744022,Sistema de Almacenamiento de Energía (SAE) Volcán Mentolat,En Calificación,10/1/2025
2161861777,Planta Solar Fotovoltaica con Almacenamiento de Energía Pradera Larga,En Calificación,13/3/2025
2161878487,Sistema de Almacenamiento de Energía Eléctrica Tipo BESS. Camarones,Desistido,23/5/2024
2161447326,Sistema de Almacenamiento de Energía (SAE) Volcán Lanin,En Calificación,12/2/2025
2161755747,Planta Solar Fotovoltaica con almacenamiento de Energía Pradera Larga,No Admitido a Tramitación,5/4/2024
2161245257,Sistema de Almacenamiento de Energía (SAE) Volcán Mentolat,No Admitido a Tramitación,25/3/2024
2161633649,Sistema de Almacenamiento de Energía (SAE) Volcán Guallatiri,Aprobado,24/9/2024
2161578559,Sistema de Almacenamiento de Energía (SAE) Volcán Tupungatito,Desistido,16/4/2024
2161447303,Sistema de Almacenamiento de Energía (SAE) Volcán Chaitén,En Calificación,20/2/2025
2161415606,Sistema de almacenamiento de Energía por Baterías - San Rafael,Aprobado,15/10/2024
2143262852,Modificación Planta Solar Fotovoltaica Santa Julia con Sistema de Almacenamiento de Energía,Aprobado,31/3/2020
2130705675,60 MW Sistema de Almacenamiento de Energía BESS-Guacolda,Aprobado,3/8/2016
7242930,Modificación S7E y Sistema de Almacenamiento de Energía de Central Termoeléctrica Cochrane,Aprobado,24/1/2013
3766442,MODIFICACIÓN DE LA SUBESTACIÓN ANDES MEDIANTE SISTEMA DE ALMACENAMIENTO DE ENERGÍA,Aprobado,27/8/2009
